L;N;algorithm;threshold;P_type1;P_type2_1;P_type2_2;P_type2_3;P_type2_4;P_type2_5;P_type2_6
10;10000;lzma;0.8;1.0;0.0;0.0;0.0;0.0;0.0;0.0
10;10000;deflate;0.8;1.0;0.0;0.0;0.0;0.0;0.0;0.0006999300069993001
10;10000;bz2;0.8;1.0;0.0;0.0;0.0;0.0;0.0;0.0
100;10000;lzma;0.8;0.9993620821638173;0.0003827507017096198;0.0;0.0;0.00025516713447307985;0.0;0.9998724164327635
100;10000;deflate;0.8;0.0001275835672365222;0.9998724164327635;0.9998724164327635;0.9998724164327635;0.9998724164327635;0.9998724164327635;0.9998724164327635
100;10000;bz2;0.8;0.0001275835672365222;0.9998724164327635;0.9998724164327635;0.9998724164327635;0.9998724164327635;0.9998724164327635;0.9998724164327635
1000;10000;lzma;0.8;0.0012755102040816757;0.9987244897959183;0.9987244897959183;0.9987244897959183;0.9987244897959183;0.9987244897959183;0.9987244897959183
1000;10000;deflate;0.8;0.0012755102040816757;0.9987244897959183;0.9987244897959183;0.9987244897959183;0.9987244897959183;0.9987244897959183;0.9987244897959183
1000;10000;bz2;0.8;0.0012755102040816757;0.9987244897959183;0.9987244897959183;0.9987244897959183;0.9987244897959183;0.9987244897959183;0.9987244897959183
10000;1000;lzma;0.8;0.012658227848101222;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9873417721518988
10000;1000;deflate;0.8;0.012658227848101222;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9873417721518988
10000;1000;bz2;0.8;0.012658227848101222;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9873417721518988
