distortion;L;threshold;FP;FN
aphine;10;0.8;1.0;0.0
aphine;100;0.8;0.9993620821638173;0.00025516713447307985
aphine;1000;0.8;0.0012755102040816757;0.9987244897959183
aphine;10000;0.8;0.012658227848101222;0.9873417721518988
recursive;10;0.8;1.0;0.0
recursive;100;0.8;0.9993620821638173;0.9998724164327635
recursive;1000;0.8;0.0012755102040816757;0.9987244897959183
recursive;10000;0.8;0.012658227848101222;0.9873417721518988
uniform;10;0.8;1.0;0.0
uniform;100;0.8;0.9993620821638173;0.0
uniform;1000;0.8;0.0012755102040816757;0.9987244897959183
uniform;10000;0.8;0.012658227848101222;0.9873417721518988
vizhener_1;10;0.8;1.0;0.0
vizhener_1;100;0.8;0.9993620821638173;0.0003827507017096198
vizhener_1;1000;0.8;0.0012755102040816757;0.9987244897959183
vizhener_1;10000;0.8;0.012658227848101222;0.9873417721518988
vizhener_10;10;0.8;1.0;0.0
vizhener_10;100;0.8;0.9993620821638173;0.0
vizhener_10;1000;0.8;0.0012755102040816757;0.9987244897959183
vizhener_10;10000;0.8;0.012658227848101222;0.9873417721518988
vizhener_5;10;0.8;1.0;0.0
vizhener_5;100;0.8;0.9993620821638173;0.0
vizhener_5;1000;0.8;0.0012755102040816757;0.9987244897959183
vizhener_5;10000;0.8;0.012658227848101222;0.9873417721518988
